id	timestamp	group
312	0	32
524	0	32
397	0	32
311	0	32
641	0	149
333	0	149
161	0	27
549	0	27
493	0	27
521	0	68
268	0	68
432	0	70
318	0	70
375	0	70
300	0	39
301	0	39
459	0	40
260	0	40
237	0	40
59	0	43
575	0	43
419	0	44
557	0	44
73	0	77
802	0	77
5	0	77
36	0	48
37	0	48
677	0	113
359	0	113
513	0	18
582	0	18
243	0	18
44	0	18
654	0	18
82	0	18
339	0	18
149	0	18
379	0	18
449	0	82
47	0	82
553	0	88
602	0	88
343	0	88
556	0	121
372	0	121
288	0	26
104	0	26
176	0	26
278	0	123
335	0	123
16	0	28
276	0	28
306	0	28
572	0	28
541	0	28
249	0	85
530	0	85
312	1	32
524	1	32
397	1	32
311	1	32
641	1	149
333	1	149
161	1	27
549	1	27
493	1	27
521	1	68
268	1	68
300	1	39
301	1	39
459	1	40
260	1	40
237	1	40
59	1	43
575	1	43
419	1	44
557	1	44
73	1	77
802	1	77
5	1	77
36	1	48
37	1	48
677	1	113
359	1	113
513	1	18
582	1	18
243	1	18
44	1	18
654	1	18
82	1	18
339	1	18
149	1	18
379	1	18
449	1	82
47	1	82
556	1	121
372	1	121
553	1	88
602	1	88
343	1	88
586	1	57
340	1	57
165	1	57
166	1	57
288	1	26
104	1	26
176	1	26
278	1	123
335	1	123
249	1	85
530	1	85
321	1	63
322	1	63
297	1	63
298	1	63
233	1	63
155	1	63
312	2	32
524	2	32
397	2	32
311	2	32
641	2	149
333	2	149
161	2	27
549	2	27
493	2	27
521	2	68
268	2	68
300	2	39
301	2	39
459	2	40
260	2	40
237	2	40
59	2	43
575	2	43
419	2	44
557	2	44
73	2	77
802	2	77
5	2	77
473	2	142
162	2	142
36	2	48
37	2	48
677	2	113
359	2	113
513	2	18
582	2	18
243	2	18
44	2	18
654	2	18
82	2	18
339	2	18
149	2	18
379	2	18
449	2	82
47	2	82
556	2	121
372	2	121
553	2	88
602	2	88
343	2	88
586	2	57
340	2	57
165	2	57
166	2	57
288	2	26
104	2	26
176	2	26
278	2	123
335	2	123
249	2	85
530	2	85
312	3	32
524	3	32
397	3	32
311	3	32
641	3	149
333	3	149
161	3	27
549	3	27
493	3	27
521	3	68
268	3	68
300	3	39
301	3	39
459	3	40
260	3	40
237	3	40
59	3	43
575	3	43
419	3	44
557	3	44
449	3	82
47	3	82
473	3	142
162	3	142
36	3	48
37	3	48
677	3	113
359	3	113
513	3	18
582	3	18
243	3	18
44	3	18
654	3	18
82	3	18
339	3	18
149	3	18
379	3	18
249	3	85
530	3	85
553	3	88
602	3	88
343	3	88
586	3	57
340	3	57
165	3	57
166	3	57
288	3	26
104	3	26
176	3	26
278	3	123
335	3	123
16	3	28
276	3	28
306	3	28
572	3	28
541	3	28
321	3	63
322	3	63
297	3	63
298	3	63
233	3	63
155	3	63
161	4	27
549	4	27
493	4	27
521	4	68
268	4	68
300	4	39
301	4	39
459	4	40
260	4	40
237	4	40
59	4	43
575	4	43
419	4	44
557	4	44
677	4	113
359	4	113
513	4	18
582	4	18
243	4	18
44	4	18
654	4	18
82	4	18
339	4	18
149	4	18
379	4	18
553	4	88
602	4	88
343	4	88
586	4	57
340	4	57
165	4	57
166	4	57
288	4	26
104	4	26
176	4	26
278	4	123
335	4	123
312	5	32
524	5	32
397	5	32
311	5	32
161	5	27
549	5	27
493	5	27
521	5	68
268	5	68
300	5	39
301	5	39
459	5	40
260	5	40
237	5	40
419	5	44
557	5	44
449	5	82
47	5	82
677	5	113
359	5	113
513	5	18
582	5	18
243	5	18
44	5	18
654	5	18
82	5	18
339	5	18
149	5	18
379	5	18
288	5	26
104	5	26
176	5	26
278	5	123
335	5	123
312	6	32
524	6	32
397	6	32
311	6	32
331	6	195
707	6	195
521	6	68
268	6	68
300	6	39
301	6	39
459	6	40
260	6	40
237	6	40
59	6	43
575	6	43
419	6	44
557	6	44
449	6	82
47	6	82
161	6	27
549	6	27
493	6	27
677	6	113
359	6	113
513	6	18
582	6	18
243	6	18
44	6	18
654	6	18
82	6	18
339	6	18
149	6	18
379	6	18
586	6	57
340	6	57
165	6	57
166	6	57
288	6	26
104	6	26
176	6	26
278	6	123
335	6	123
312	7	32
524	7	32
397	7	32
311	7	32
492	7	98
461	7	98
331	7	195
707	7	195
521	7	68
268	7	68
300	7	39
301	7	39
459	7	40
260	7	40
237	7	40
59	7	43
575	7	43
419	7	44
557	7	44
449	7	82
47	7	82
161	7	27
549	7	27
493	7	27
677	7	113
359	7	113
513	7	18
582	7	18
243	7	18
44	7	18
654	7	18
82	7	18
339	7	18
149	7	18
379	7	18
288	7	26
104	7	26
176	7	26
278	7	123
335	7	123
321	7	63
322	7	63
297	7	63
298	7	63
233	7	63
155	7	63
312	8	32
524	8	32
397	8	32
311	8	32
492	8	98
461	8	98
521	8	68
268	8	68
300	8	39
301	8	39
459	8	40
260	8	40
237	8	40
419	8	44
557	8	44
59	8	43
575	8	43
224	8	172
223	8	172
449	8	82
47	8	82
677	8	113
359	8	113
513	8	18
582	8	18
243	8	18
44	8	18
654	8	18
82	8	18
339	8	18
149	8	18
379	8	18
553	8	88
602	8	88
343	8	88
556	8	121
372	8	121
288	8	26
104	8	26
176	8	26
161	8	27
549	8	27
493	8	27
321	8	63
322	8	63
297	8	63
298	8	63
233	8	63
155	8	63
312	9	32
524	9	32
397	9	32
311	9	32
492	9	98
461	9	98
161	9	27
549	9	27
493	9	27
521	9	68
268	9	68
300	9	39
301	9	39
459	9	40
260	9	40
237	9	40
419	9	44
557	9	44
59	9	43
575	9	43
224	9	172
223	9	172
677	9	113
359	9	113
513	9	18
582	9	18
243	9	18
44	9	18
654	9	18
82	9	18
339	9	18
149	9	18
379	9	18
553	9	88
602	9	88
343	9	88
556	9	121
372	9	121
288	9	26
104	9	26
176	9	26
278	9	123
335	9	123
321	9	63
322	9	63
297	9	63
298	9	63
233	9	63
155	9	63
312	10	32
524	10	32
397	10	32
311	10	32
492	10	98
461	10	98
161	10	27
549	10	27
493	10	27
521	10	68
268	10	68
300	10	39
301	10	39
459	10	40
260	10	40
237	10	40
419	10	44
557	10	44
59	10	43
575	10	43
224	10	172
223	10	172
513	10	18
582	10	18
243	10	18
44	10	18
654	10	18
82	10	18
339	10	18
149	10	18
379	10	18
677	10	113
359	10	113
569	10	114
465	10	114
556	10	121
372	10	121
586	10	57
340	10	57
165	10	57
166	10	57
288	10	26
104	10	26
176	10	26
278	10	123
335	10	123
321	10	63
322	10	63
297	10	63
298	10	63
233	10	63
155	10	63
312	11	32
524	11	32
397	11	32
311	11	32
161	11	27
549	11	27
493	11	27
521	11	68
268	11	68
300	11	39
301	11	39
459	11	40
260	11	40
237	11	40
419	11	44
557	11	44
59	11	43
575	11	43
224	11	172
223	11	172
513	11	18
582	11	18
243	11	18
44	11	18
654	11	18
82	11	18
339	11	18
149	11	18
379	11	18
677	11	113
359	11	113
569	11	114
465	11	114
556	11	121
372	11	121
288	11	26
104	11	26
176	11	26
278	11	123
335	11	123
521	12	68
268	12	68
300	12	39
301	12	39
459	12	40
260	12	40
237	12	40
59	12	43
575	12	43
419	12	44
557	12	44
513	12	18
582	12	18
243	12	18
44	12	18
654	12	18
82	12	18
339	12	18
149	12	18
379	12	18
375	12	52
655	12	52
553	12	88
602	12	88
343	12	88
556	12	121
372	12	121
288	12	26
104	12	26
176	12	26
161	12	27
549	12	27
493	12	27
321	12	63
322	12	63
297	12	63
298	12	63
233	12	63
155	12	63
312	13	32
524	13	32
397	13	32
311	13	32
331	13	195
707	13	195
521	13	68
268	13	68
300	13	39
301	13	39
459	13	40
260	13	40
237	13	40
419	13	44
557	13	44
59	13	43
575	13	43
224	13	172
223	13	172
36	13	48
37	13	48
513	13	18
582	13	18
243	13	18
44	13	18
654	13	18
82	13	18
339	13	18
149	13	18
379	13	18
375	13	52
655	13	52
556	13	121
372	13	121
553	13	88
602	13	88
343	13	88
586	13	57
340	13	57
165	13	57
166	13	57
288	13	26
104	13	26
176	13	26
161	13	27
549	13	27
493	13	27
321	13	63
322	13	63
297	13	63
298	13	63
233	13	63
155	13	63
312	14	32
524	14	32
397	14	32
311	14	32
521	14	68
268	14	68
300	14	39
301	14	39
459	14	40
260	14	40
237	14	40
419	14	44
557	14	44
59	14	43
575	14	43
224	14	172
223	14	172
36	14	48
37	14	48
677	14	113
359	14	113
513	14	18
582	14	18
243	14	18
44	14	18
654	14	18
82	14	18
339	14	18
149	14	18
379	14	18
375	14	52
655	14	52
556	14	121
372	14	121
371	14	72
156	14	72
586	14	57
340	14	57
165	14	57
166	14	57
288	14	26
104	14	26
176	14	26
161	14	27
549	14	27
493	14	27
321	14	63
322	14	63
297	14	63
298	14	63
233	14	63
155	14	63
492	15	98
461	15	98
161	15	27
549	15	27
493	15	27
521	15	68
268	15	68
300	15	39
301	15	39
459	15	40
260	15	40
237	15	40
419	15	44
557	15	44
59	15	43
575	15	43
224	15	172
223	15	172
449	15	82
47	15	82
36	15	48
37	15	48
677	15	113
359	15	113
513	15	18
582	15	18
243	15	18
44	15	18
654	15	18
82	15	18
339	15	18
149	15	18
379	15	18
375	15	52
655	15	52
371	15	72
156	15	72
288	15	26
104	15	26
176	15	26
278	15	123
335	15	123
321	15	63
322	15	63
297	15	63
298	15	63
233	15	63
155	15	63
312	16	32
524	16	32
397	16	32
311	16	32
161	16	27
549	16	27
493	16	27
521	16	68
268	16	68
300	16	39
301	16	39
459	16	40
260	16	40
237	16	40
59	16	43
575	16	43
419	16	44
557	16	44
449	16	82
47	16	82
36	16	48
37	16	48
677	16	113
359	16	113
513	16	18
582	16	18
243	16	18
44	16	18
654	16	18
82	16	18
339	16	18
149	16	18
379	16	18
375	16	52
655	16	52
556	16	121
372	16	121
553	16	88
602	16	88
343	16	88
586	16	57
340	16	57
165	16	57
166	16	57
288	16	26
104	16	26
176	16	26
278	16	123
335	16	123
371	16	72
156	16	72
321	16	63
322	16	63
297	16	63
298	16	63
233	16	63
155	16	63
312	17	32
524	17	32
397	17	32
311	17	32
492	17	98
461	17	98
161	17	27
549	17	27
493	17	27
521	17	68
268	17	68
300	17	39
301	17	39
459	17	40
260	17	40
237	17	40
59	17	43
575	17	43
419	17	44
557	17	44
36	17	48
37	17	48
677	17	113
359	17	113
513	17	18
582	17	18
243	17	18
44	17	18
654	17	18
82	17	18
339	17	18
149	17	18
379	17	18
375	17	52
655	17	52
556	17	121
372	17	121
371	17	72
156	17	72
586	17	57
340	17	57
165	17	57
166	17	57
288	17	26
104	17	26
176	17	26
278	17	123
335	17	123
321	17	63
322	17	63
297	17	63
298	17	63
233	17	63
155	17	63
312	18	32
524	18	32
397	18	32
311	18	32
492	18	98
461	18	98
161	18	27
549	18	27
493	18	27
521	18	68
268	18	68
300	18	39
301	18	39
459	18	40
260	18	40
237	18	40
419	18	44
557	18	44
224	18	172
223	18	172
36	18	48
37	18	48
677	18	113
359	18	113
513	18	18
582	18	18
243	18	18
44	18	18
654	18	18
82	18	18
339	18	18
149	18	18
379	18	18
375	18	52
655	18	52
556	18	121
372	18	121
371	18	72
156	18	72
586	18	57
340	18	57
165	18	57
166	18	57
162	18	57
288	18	26
104	18	26
176	18	26
278	18	123
335	18	123
321	18	63
322	18	63
297	18	63
298	18	63
233	18	63
155	18	63
312	19	32
524	19	32
397	19	32
311	19	32
161	19	27
549	19	27
493	19	27
521	19	68
268	19	68
300	19	39
301	19	39
459	19	40
260	19	40
237	19	40
419	19	44
557	19	44
59	19	43
575	19	43
224	19	172
223	19	172
36	19	48
37	19	48
677	19	113
359	19	113
513	19	18
582	19	18
243	19	18
44	19	18
654	19	18
82	19	18
339	19	18
149	19	18
379	19	18
375	19	52
655	19	52
371	19	72
156	19	72
556	19	121
372	19	121
288	19	26
104	19	26
176	19	26
278	19	123
335	19	123
321	19	63
322	19	63
297	19	63
298	19	63
233	19	63
155	19	63
312	20	32
524	20	32
397	20	32
311	20	32
492	20	98
461	20	98
521	20	68
268	20	68
300	20	39
301	20	39
459	20	40
260	20	40
237	20	40
59	20	43
575	20	43
419	20	44
557	20	44
36	20	48
37	20	48
677	20	113
359	20	113
513	20	18
582	20	18
243	20	18
44	20	18
654	20	18
