id	timestamp	group
87	44	245
132	44	245
238	44	245
630	44	245
132	45	245
238	45	245
630	45	245
87	45	245
563	46	0
18	46	0
570	46	0
241	46	0
572	46	0
476	46	0
570	47	0
465	47	0
563	47	0
241	47	0
572	47	0
306	47	0
736	47	0
207	47	0
476	47	0
407	47	0
560	47	0
467	47	0
29	47	0
334	47	0
461	47	1
113	47	1
646	47	1
226	47	1
441	47	1
580	47	1
307	47	1
53	47	1
238	47	1
669	47	1
279	47	7
587	47	7
368	47	7
610	47	7
391	47	7
450	47	10
452	47	10
382	47	10
40	47	10
2	47	10
529	47	14
480	47	14
525	47	14
87	47	14
123	47	14
344	47	34
56	47	34
568	47	34
198	47	34
163	47	218
453	47	218
204	47	218
304	47	218
241	48	0
560	48	0
563	48	0
627	48	0
482	48	0
29	48	0
659	48	0
114	48	0
290	48	0
306	48	0
736	48	0
476	48	0
334	48	0
570	48	0
465	48	0
572	48	0
467	48	0
207	48	0
407	48	0
505	48	0
461	48	1
647	48	1
515	48	1
646	48	1
168	48	1
307	48	1
441	48	1
283	48	1
238	48	1
236	48	1
226	48	1
113	48	1
580	48	1
669	48	1
279	48	7
442	48	7
610	48	7
246	48	7
391	48	7
693	48	7
587	48	7
368	48	7
2	48	10
354	48	10
382	48	10
40	48	10
450	48	10
502	48	10
332	48	10
452	48	10
163	48	13
639	48	13
164	48	13
361	48	13
304	48	13
494	48	13
474	48	13
123	48	14
480	48	14
529	48	14
525	48	14
87	48	14
568	48	34
67	48	34
509	48	34
416	48	34
100	48	34
507	48	34
344	48	34
195	48	34
198	48	34
58	48	34
353	48	109
56	48	109
591	48	109
266	48	109
560	49	0
563	49	0
627	49	0
482	49	0
29	49	0
659	49	0
114	49	0
290	49	0
18	49	0
306	49	0
736	49	0
476	49	0
334	49	0
570	49	0
465	49	0
241	49	0
572	49	0
467	49	0
207	49	0
125	49	0
407	49	0
461	49	1
647	49	1
515	49	1
646	49	1
168	49	1
307	49	1
441	49	1
283	49	1
238	49	1
236	49	1
226	49	1
113	49	1
580	49	1
669	49	1
10	49	1
279	49	7
442	49	7
610	49	7
391	49	7
693	49	7
780	49	7
20	49	7
587	49	7
368	49	7
2	49	10
354	49	10
382	49	10
40	49	10
450	49	10
502	49	10
47	49	10
332	49	10
452	49	10
163	49	13
639	49	13
494	49	13
164	49	13
361	49	13
304	49	13
474	49	13
123	49	14
529	49	14
525	49	14
87	49	14
577	49	23
305	49	23
609	49	23
255	49	23
245	49	23
606	49	23
568	49	34
67	49	34
509	49	34
416	49	34
100	49	34
507	49	34
353	49	34
344	49	34
56	49	34
266	49	34
15	49	34
195	49	34
198	49	34
672	49	34
591	49	34
58	49	34
39	49	78
277	49	78
248	49	78
413	49	78
560	50	0
563	50	0
627	50	0
482	50	0
29	50	0
659	50	0
114	50	0
290	50	0
18	50	0
306	50	0
736	50	0
476	50	0
334	50	0
570	50	0
465	50	0
241	50	0
572	50	0
467	50	0
207	50	0
125	50	0
407	50	0
505	50	0
461	50	1
647	50	1
515	50	1
646	50	1
168	50	1
307	50	1
441	50	1
283	50	1
238	50	1
236	50	1
226	50	1
113	50	1
580	50	1
669	50	1
10	50	1
279	50	7
442	50	7
610	50	7
156	50	7
391	50	7
693	50	7
780	50	7
20	50	7
587	50	7
368	50	7
2	50	10
382	50	10
40	50	10
450	50	10
502	50	10
47	50	10
666	50	10
332	50	10
452	50	10
554	50	10
577	50	23
26	50	23
305	50	23
609	50	23
255	50	23
245	50	23
606	50	23
163	50	13
639	50	13
494	50	13
164	50	13
361	50	13
304	50	13
474	50	13
123	50	14
529	50	14
525	50	14
87	50	14
453	50	30
680	50	30
64	50	30
204	50	30
564	50	34
56	50	34
67	50	34
509	50	34
416	50	34
100	50	34
507	50	34
353	50	34
344	50	34
568	50	34
266	50	34
15	50	34
195	50	34
198	50	34
672	50	34
591	50	34
58	50	34
237	50	177
352	50	177
82	50	177
299	50	177
326	50	178
187	50	178
393	50	178
644	50	178
154	50	178
211	50	178
560	51	0
563	51	0
627	51	0
482	51	0
29	51	0
659	51	0
114	51	0
290	51	0
18	51	0
306	51	0
736	51	0
476	51	0
334	51	0
570	51	0
465	51	0
241	51	0
572	51	0
467	51	0
207	51	0
125	51	0
407	51	0
505	51	0
461	51	1
647	51	1
515	51	1
646	51	1
168	51	1
307	51	1
441	51	1
283	51	1
238	51	1
236	51	1
226	51	1
113	51	1
580	51	1
669	51	1
10	51	1
279	51	7
442	51	7
610	51	7
156	51	7
391	51	7
693	51	7
20	51	7
587	51	7
368	51	7
2	51	10
382	51	10
40	51	10
502	51	10
47	51	10
666	51	10
332	51	10
452	51	10
554	51	10
163	51	13
639	51	13
494	51	13
164	51	13
361	51	13
304	51	13
474	51	13
123	51	14
529	51	14
525	51	14
87	51	14
577	51	23
305	51	23
609	51	23
245	51	23
606	51	23
453	51	30
596	51	30
680	51	30
64	51	30
204	51	30
564	51	34
568	51	34
67	51	34
509	51	34
416	51	34
100	51	34
507	51	34
353	51	34
56	51	34
266	51	34
195	51	34
198	51	34
591	51	34
58	51	34
237	51	177
133	51	177
352	51	177
82	51	177
360	51	177
299	51	177
187	51	178
393	51	178
644	51	178
211	51	178
154	51	195
228	51	195
158	51	195
326	51	195
39	51	78
277	51	78
248	51	78
413	51	78
560	52	0
563	52	0
627	52	0
482	52	0
29	52	0
659	52	0
114	52	0
290	52	0
18	52	0
306	52	0
736	52	0
476	52	0
334	52	0
570	52	0
465	52	0
241	52	0
572	52	0
467	52	0
505	52	0
207	52	0
125	52	0
407	52	0
461	52	1
647	52	1
515	52	1
646	52	1
168	52	1
307	52	1
441	52	1
283	52	1
238	52	1
236	52	1
226	52	1
113	52	1
580	52	1
669	52	1
10	52	1
279	52	7
610	52	7
391	52	7
693	52	7
20	52	7
587	52	7
368	52	7
132	52	10
2	52	10
354	52	10
382	52	10
450	52	10
502	52	10
332	52	10
452	52	10
47	52	10
577	52	23
305	52	23
609	52	23
255	52	23
245	52	23
606	52	23
163	52	13
639	52	13
494	52	13
164	52	13
361	52	13
304	52	13
474	52	13
123	52	14
480	52	14
529	52	14
525	52	14
87	52	14
453	52	30
596	52	30
680	52	30
64	52	30
204	52	30
568	52	34
509	52	34
416	52	34
100	52	34
507	52	34
344	52	34
58	52	34
198	52	34
237	52	177
299	52	177
352	52	177
133	52	177
82	52	177
360	52	177
641	52	56
141	52	56
437	52	56
365	52	56
154	52	195
228	52	195
326	52	195
158	52	195
39	52	78
277	52	78
248	52	78
413	52	78
152	52	106
300	52	106
591	52	106
564	52	106
56	52	106
599	52	254
689	52	254
412	52	254
181	52	254
560	53	0
563	53	0
627	53	0
29	53	0
659	53	0
114	53	0
482	53	0
290	53	0
306	53	0
736	53	0
476	53	0
334	53	0
570	53	0
465	53	0
241	53	0
572	53	0
467	53	0
207	53	0
125	53	0
407	53	0
461	53	1
647	53	1
515	53	1
646	53	1
168	53	1
307	53	1
441	53	1
283	53	1
238	53	1
236	53	1
226	53	1
113	53	1
580	53	1
669	53	1
10	53	1
44	53	2
359	53	2
654	53	2
259	53	2
418	53	2
72	53	2
78	53	2
149	53	2
582	53	2
159	53	3
545	53	3
174	53	3
118	53	3
439	53	3
553	53	3
230	53	4
395	53	4
291	53	4
588	53	4
151	53	5
280	53	5
261	53	5
396	53	5
333	53	5
38	53	5
242	53	6
221	53	6
229	53	6
524	53	6
276	53	6
442	53	7
610	53	7
246	53	7
391	53	7
693	53	7
20	53	7
587	53	7
368	53	7
203	53	8
311	53	8
154	53	8
299	53	8
133	53	8
326	53	8
562	53	8
352	53	8
237	53	8
512	53	9
484	53	9
296	53	9
36	53	9
538	53	9
211	53	9
355	53	9
83	53	9
132	53	10
2	53	10
354	53	10
